TIMESTAMP,VX,VY,VZ,GX,GY,GZ,AX,AY,AZ
1634102737,1.48,2.97,8.89,3997.19,6.23,3998.9,20.4,353.06,188.32
1634102738,1.96,3.44,10.51,3970.83,3958.37,22.71,18.92,350.47,188.46
1634102739,2.95,2.38,8.87,3987.92,3.78,3999.82,17.15,348.39,179.97
1634102740,2.82,4.28,9.6,3985.78,26.06,3.66,17.14,354.7,181.64
1634102741,1.56,3.28,9.32,3998.29,1.77,3999.88,19.57,351.73,182.72
1634102742,3.4,2.75,8.17,3980.41,3968.14,3946.72,18.24,340.47,150.58
1634102743,0.54,4.37,8.49,3980.77,3982.54,3974.49,24.7,349.85,106.8
1634102744,0.99,3.85,7.61,3979.61,3967.16,3983.83,23.64,348.84,103.85
1634102745,1.19,2.35,6.93,103.27,39.92,132.87,34.3,345.96,116.82
1634102747,3.88,0.23,9.25,4.94,3997.31,3997.8,1.58,338.77,191.04
1634102748,4.19,0.24,9.24,11.23,3986.08,3926.82,334.46,323.65,232.2
1634102749,7.07,310.3,5.88,4.15,8.79,3994.81,333.33,315.25,243.77
1634102750,6.63,310.48,6.21,8,14.4,3990.42,333.26,317.08,239.16
1634102751,6.5,310.34,6.01,3990.36,3.17,3993.47,332.79,317.17,237.97
1634102752,7.03,313.59,5.78,44.92,3882.02,3932.62,0.69,299.21,188.17
1634102753,12.18,1.5,0.9,14.71,3981.93,10.68,40.61,304.01,152.52
1634102754,7.81,3.79,3.96,3996.64,1.4,5.19,40.5,304.05,126.56
1634102755,7.91,3.3,4.08,3999.76,3999.69,0.31,40.27,303.84,121.85
1634102756,7.71,3.61,4.18,3998.54,2.56,3999.39,42.29,301.91,116.11
1634102757,8.07,3.4,3.81,1.22,3997.68,3999.88,42.47,301.77,115.87
1634102758,8.2,3.45,3.64,0.31,3999.02,3999.57,42.88,301.65,115.45
1634102759,7.99,3.38,3.74,3999.51,3999.27,0.12,41.98,301.87,116
1634102761,7.99,3.27,3.92,1.04,3997.44,0.43,42,302.34,115.6
1634102762,5.08,2.85,0.77,21.24,3986.15,3892.21,45.62,302.77,111.91
1634102763,11.01,6.07,4.4,3999.88,2.69,3999.15,52.04,304.28,104.38
1634102764,3.65,2.41,1.57,3999.82,3999.15,1.16,61.13,303,95.28
1634102765,8.22,4.42,1.26,0.61,3998.11,3999.57,69.76,301.82,87.29
1634102766,8.2,4.89,1.97,3999.94,0.61,1.1,70.42,301.58,87.64
1634102767,7.91,4.96,1.71,3999.69,0.79,3999.57,70.38,301.66,87.71
1634102768,8,4.73,1.65,3999.94,3999.82,0,71.68,302.07,86.29
1634102769,7.89,4.76,1.51,3999.27,0.18,0.24,71.38,302.18,86.47
1634102770,7.79,4.77,1.68,0.98,3998.23,1.77,71.33,303.61,86.63
1634102771,7.66,4.57,1.83,0.85,3998.6,1.65,71.35,303.49,86.64
1634102772,7.86,4.99,1.49,0.06,3999.63,3999.15,72.22,302.95,85.57
1634102773,8.27,5.03,1.57,3999.69,3999.63,3999.27,72.53,302.68,85.12
1634102775,7.43,4.81,2.12,0.49,3998.78,0.24,72.23,303.07,85.44
1634102776,8.07,5.12,1.7,3993.04,12.57,3997.01,71.22,303.03,86.25
1634102777,8.5,4.82,0.83,0.06,3.48,0.06,68.32,303.72,88.95
1634102778,8.16,5.01,2.15,3997.44,3.36,3998.11,69.88,303.56,87.51
1634102779,8.29,4.97,1.52,3998.47,2.62,3998.72,70.88,302.97,86
1634102780,8.38,4.77,0.45,4.94,3997.13,0.18,75.26,302.83,81.91
1634102781,8.34,5.01,0.98,1.04,3998.96,3999.02,75.16,302.79,81.82
1634102782,8.18,4.98,1.3,3999.63,0.61,3999.39,76.62,302.41,79.79
1634102783,8.28,5.18,1.54,3999.45,0.12,3999.15,75.31,302.92,80.77
1634102784,7.65,5.02,1.03,0.31,1.59,3999.82,75.78,302.47,80.88
1634102785,7.79,4.94,1.33,1.28,3999.76,0.37,75.94,302.43,80.82
1634102786,8.17,4.88,1.07,0.55,0.85,3999.82,76.61,302.49,80.87
1634102787,8.06,5.12,1.42,0.43,0.85,3999.57,76.48,302.52,81.06
1634102789,8.22,4.56,0.49,2.56,0.24,1.65,75.41,302.82,83.16
1634102790,8.24,4.28,0.21,4.82,3999.76,1.53,75.49,302.7,83.29
1634102791,8.23,5.37,1.69,1.16,3999.76,0.24,74.14,303.13,86.86
1634102792,8.19,5.79,3.16,1.4,3997.19,0.18,75.69,302.69,86.75
1634102793,7.87,4.8,1.23,3999.69,2.08,3999.94,75.09,302.9,88.03
1634102794,8.03,4.85,1,3999.63,0.06,0.18,73.63,303.48,90.54
1634102795,7.63,4.46,0.16,0.79,3999.39,0.98,73.56,303.5,90.73
1634102796,7.53,4.33,0.79,2.2,3996.52,2.01,73.68,302.9,91.71
1634102797,7.38,4.76,1.61,0.31,1.34,3999.15,73.37,303.39,93.18
1634102798,7.6,5.13,2.81,3998.6,2.62,3998.66,72.96,303.06,94.64
1634102799,7.95,5.1,1.65,0.37,2.26,3999.45,71.06,303.7,97.44
1634102800,7.29,4.15,0.35,3.66,3994.63,4.21,71.93,300.99,99.99
1634102801,7.23,3.91,1.59,1.34,3997.74,0,71.9,300.81,101.18
1634102803,7.99,4.62,1.66,0,3999.45,1.1,71.15,300.93,102.29
1634102804,7.91,4.76,1.51,3999.15,0,0,70.89,301.31,102.21
1634102805,7.88,4.66,1.61,3999.69,0,0.24,70.89,301.32,102.22
1634102806,8.19,4.78,1.46,3998.78,0.61,3998.96,71.45,301.05,101.26
1634102807,8.04,4.77,1.59,3999.63,3998.66,0,70.77,301.1,101.2
1634102808,7.86,4.78,1.77,3999.39,3999.88,3999.57,71.4,301.28,99.91
1634102809,8.02,4.9,1.56,3999.45,0.55,3999.15,71.11,300.71,99.58
1634102810,8.1,4.54,1.01,3999.88,3998.9,0.06,72.92,300.66,96.72
1634102811,8.01,4.47,1.4,3999.57,3999.51,0,72.97,300.66,96.61
1634102812,8.19,4.8,1.3,0.37,3999.57,3999.88,73.23,300.44,96.08
1634102813,8.15,4.43,1.4,1.04,0.49,0.43,72.95,300.75,97.13
1634102814,8.19,4.3,1.24,3999.76,2.44,0,72.92,300.73,97.22
1634102815,7.82,4.43,1.34,0.55,0.37,3999.21,72.65,300.96,97.94
1634102816,8.26,4.2,0.36,0.67,1.34,0.06,72.55,300.56,98.42
1634102818,8.56,4.43,1.01,0.24,1.1,3999.69,72.89,300.98,98.31
1634102819,8.15,5.11,1.55,0,0,0.37,72.61,300.59,98.77
